更新时间,#genre#
20240907,url


上海频道,#genre#
上海外语,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000002000000001/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000001&IASHttpSessionId=OTT19019320240419154124000281
上海新闻,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000002000000005/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000005&IASHttpSessionId=OTT19019320240419154124000281
上海都市,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000002000000012/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000012&IASHttpSessionId=OTT19019320240419154124000281
东方影视,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000002000000013/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000013&IASHttpSessionId=OTT19019320240419154124000281
东方财经,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000002000000090/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000090&IASHttpSessionId=OTT19019320240419154124000281
生活时尚,http://[2409:8087:74F1:0021::0008]/000000001000PLTV/88888888/224/3221226358/index.m3u8?HlsProfileId=
生活时尚,rtp://239.3.1.206:8001
第一财经,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000002000000004/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000004&IASHttpSessionId=OTT19019320240419154124000281


央视频道,#genre#
CCTV-1,http://175.0.95.242:9000/rtp/239.76.253.151:9000$1920x1080
CCTV-1,http://118.79.114.96:6000/rtp/226.0.1.157:3086$1920x1080
CCTV-1,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://110.241.188.219:808/hls/1/index.m3u8
CCTV-1,http://119.39.97.2:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://114.91.25.0:10010/rtp/239.45.3.145:5140$1920x1080
CCTV-1,http://111.167.224.68:8888/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://117.86.120.211:8888/rtp/239.49.8.19:9614$1920x1080
CCTV-1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1,http://xuys.top:8888/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://220.164.3.169:4022/rtp/239.200.201.135:8880$1920x1080
CCTV-1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV-1,http://49.75.158.51:4022/rtp/239.49.8.19:9614$1920x1080
CCTV-1,http://101.81.79.240:8881/rtp/239.45.3.145:5140$1920x1080
CCTV-1,http://106.42.108.200:2000/rtp/239.16.10.1:2000$1920x1080
CCTV-1,rtp://239.3.1.129:8008
CCTV-1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8
CCTV-1,http://117.82.87.250:8888/rtp/239.49.8.19:9614$1920x1080
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226514/index.m3u8
CCTV-1,http://36.46.99.181:8010/rtp/239.109.205.118:8880$1920x1080
CCTV-1,http://183.188.28.71:6001/rtp/226.0.1.157:3086$1920x1080
CCTV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV-1,http://124.228.160.169:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV-1,http://14.135.72.93:8888/rtp/239.121.4.113:8636$1920x1080
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-1,http://180.102.253.251:8000/rtp/239.49.8.19:9614$1920x1080
CCTV-2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-2,http://106.59.3.147:55555/rtp/239.200.200.104:8084$1920x1080
CCTV-2,http://enlen.vip:4022/rtp/239.200.200.1:8004
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-2,http://enlen.vip:4022/rtp/239.200.200.104:8084
CCTV-2,http://106.57.1.93:55555/rtp/239.200.200.104:8084
CCTV-2,rtp://239.3.1.60:8084
CCTV-2,http://106.57.0.89:55555/rtp/239.200.200.1:8004
CCTV-2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://220.164.3.169:4022/rtp/239.200.200.1:8004
CCTV-2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://106.57.0.127:55555/rtp/239.200.200.104:8084
CCTV-2,http://121.24.98.21:8090/hls/10/index.m3u8
CCTV-2,http://106.57.0.89:55555/rtp/239.200.200.104:8084
CCTV-2,http://106.57.1.93:55555/rtp/239.200.200.1:8004
CCTV-2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-2,https://cntv.lat/tv/live.php?auth=231110&id=cctv2$1280x720
CCTV-2,http://106.59.3.3:55555/rtp/239.200.200.1:8004
CCTV-2,http://106.59.3.3:55555/rtp/239.200.200.104:8084
CCTV-2,http://220.164.3.169:4022/rtp/239.200.200.104:8084
CCTV-2,http://220.164.3.48:4022/rtp/239.200.200.104:8084
CCTV-2,http://106.59.2.162:55555/rtp/239.200.200.104:8084
CCTV-2,http://124.228.160.169:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://106.57.1.93:55555/rtp/239.200.200.18:9008
CCTV-3,http://222.241.154.37:9901/tsfile/live/23003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV-3,http://121.24.98.21:8090/hls/11/index.m3u8
CCTV-3,http://223.242.147.119:4022/rtp/238.1.78.170:7232$1920x1080
CCTV-3,http://119.39.97.2:9002/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3,http://106.59.2.162:55555/rtp/239.200.200.18:9008
CCTV-3,http://220.164.3.169:4022/rtp/239.200.200.76:9004
CCTV-3,http://enlen.vip:4022/rtp/239.200.200.18:9008
CCTV-3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3,http://124.228.160.169:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3,rtp://239.3.1.172:8001
